Stop Name,Suburb,Postcode,Stop Latitude,Stop Longitude
BEATTIE CR AFTER GOLDSTEIN CR,CHISHOLM,2905,-35.418312,149.11557
LONGMORE CR AFTER HARKER PL,WANNIASSA,2903,-35.396854,149.104095
CLIFT CR AFTER HEAGNEY CR,RICHARDSON,2905,-35.426308,149.112473
CASTLETON CR OPP GOWRIE SHOPS,GOWRIE,2904,-35.414013,149.10939
BARR SMITH AV AFTER SALAS ST,BONYTHON,2905,-35.426731,149.074173
DUGGAN ST AFTER THARWA DR,CALWELL,2905,-35.441601,149.100906
LAWRENCE WACKETT CR OPP THEODORE PRIMARY SCHOOL,THEODORE,2905,-35.447277,149.124619
ELLERSTON AV AFTER ASHLEY DR,ISABELLA PLAINS,2905,-35.428921,149.102844
MACFARLANE BURNET AV BEFORE ECCLES CCT,MACGREGOR,2615,-35.212666,149.004013
FREMANTLE DR AFTER MCKAIL CR,STIRLING,2611,-35.347042,149.047943
DONALDSON ST AFTER AINSLIE PRIMARY SCHOOL,BRADDON,2612,-35.273621,149.140823
BARRACLOUGH CR AFTER COWDERY PL,MONASH,2904,-35.417179,149.100647
ANKETELL ST AFTER BUNNINGS WAREHOUSE,GREENWAY,2900,-35.419975,149.070831
BALDWIN DR BEFORE WILLIAM SLIM DR,LAWSON,2617,-35.217644,149.086655
FULLAGAR CR BEFORE ASHBURNER ST,HIGGINS,2615,-35.229664,149.022766
SOUTHERN CROSS DR AFTER LUXTON ST,SCULLIN,2614,-35.230408,149.046509
GINNINDERRA DR AFTER LANCE HILL AV,DUNLOP,2615,-35.202499,149.021942
BELCONNEN WY AFTER PETTERD ST,PAGE,2614,-35.24353,149.054642
SPOFFORTH ST AFTER MESSSENGER ST,HOLT,2615,-35.224972,149.005096
SOUTHERN CROSS AFTER RATCLIFFE ST,FLOREY,2615,-35.231945,149.049728
BALDWIN DR BEFORE MARIBYRNONG AV SOUTH ENTRY,KALEEN,2617,-35.228031,149.09848
BALDWIN DR AFTER GUM ST,GIRALANG,2617,-35.217415,149.090332
MARY POTTER CCT CALVARY HOSPITAL,BRUCE,2617,-35.251682,149.090225
O'LOGHLEN ST AFTER 2ND CHAMBERS ST,LATHAM,2615,-35.221104,149.038361
JERRABOMBERRA AV AGSO,SYMONSTON,2609,-35.344452,149.155685
CANBERRA AV AFTER IPSWICH ST,FYSHWICK,2609,-35.330887,149.162582
THE VALLEY AV AFTER GUNGAHLIN DR,GUNGAHLIN,2912,-35.186932,149.124054
JOYNTON SMITH DR AFTER MORELL ST,BELCONNEN,2616,-35.233608,149.062439
LA PEROUSE ST AFTER CALEY CR,NARRABUNDAH,2604,-35.334103,149.135483
LA PEROUSE ST AFTER HAMELIN CR,GRIFFITH,2603,-35.333946,149.13533
GOODWIN ST AFTER OLIVER ST,LYNEHAM,2602,-35.249371,149.131622
KINGSFORD SMITH DR BEFORE COMPANION CR,MELBA,2615,-35.212406,149.047791
OWEN DIXON DR MCKELLAR SOCCER CLUB,MCKELLAR,2617,-35.211994,149.084564
MURRANJI ST AFTER ALEXANDRIA ST,HAWKER,2614,-35.242207,149.032761
COPLAND DR SPENCE TERMINUS,SPENCE,2615,-35.200703,149.068588
SANDFORD ST AFTER FLEMINGTON RD,MITCHELL,2911,-35.221085,149.1427
DALEY CR OPP FRASER EAST TERMINUS,FRASER,2615,-35.189999,149.047211
FEDERAL HWY AFTER PHILLIP AV,DOWNER,2602,-35.236713,149.142899
ASHKANASY CR AFTER CLANCY ST,EVATT,2617,-35.210442,149.069794
BELCONNEN WY BEFORE SPRINGVALE DR,WEETANGERA,2614,-35.243343,149.048126
COMMONWEALTH AV REGETTA POINT,PARKES,2600,-35.288395,149.127823
COMMONWEALTH AV AFTER ALBERT HALL,ACTON,2601,-35.288746,149.127365
CITY BUS STN NORTHBOURNE AV PLT 11,CITY,2601,-35.278988,149.12886
ABENA AV AFTER CHANCE ST,CRACE,2911,-35.200642,149.104126
ALEXANDER MACONOCHIE CENTRE,HUME,2620,-35.372116,149.170013
TEMPLESTOWE AV AFTER HUMPHREY ST,CONDER,2906,-35.465488,149.106583
AINSWORTH ST AFTER ALSOP CL,PHILLIP,2606,-35.350578,149.093414
STREETON DR 2ND AFTER DARWINIA TCE,RIVETT,2611,-35.350685,149.042145
STRICKLAND CR CALVARY JOHN JAMES HOSPITAL,DEAKIN,2600,-35.318466,149.095627
GILMORE CR AFTER ELDRIDGE CR,GARRAN,2605,-35.345757,149.104965
JULIA FLYNN AV AFTER DORSCH ST,ISAACS,2607,-35.370029,149.111465
NOVAR ST BEFORE KINTORE CR,YARRALUMLA,2600,-35.312031,149.098297
