postcode,locality,State
2540,HMAS CRESWELL,ACT
2540,JERVIS BAY,ACT
2600,BARTON,ACT
2600,CANBERRA,ACT
2600,CAPITAL HILL,ACT
2600,DEAKIN,ACT
2600,DEAKIN WEST,ACT
2600,DUNTROON,ACT
2600,FAIRBAIRN RAAF,ACT
2600,HARMAN,ACT
2600,HMAS HARMAN,ACT
2600,PARKES,ACT
2600,PARLIAMENT HOUSE,ACT
2600,RUSSELL,ACT
2600,RUSSELL HILL,ACT
2600,YARRALUMLA,ACT
2601,ACTON,ACT
2601,BLACK MOUNTAIN,ACT
2601,CANBERRA,ACT
2601,CITY,ACT
2602,AINSLIE,ACT
2602,DICKSON,ACT
2602,DOWNER,ACT
2602,HACKETT,ACT
2602,LYNEHAM,ACT
2602,O'CONNOR,ACT
2602,WATSON,ACT
2603,FORREST,ACT
2603,GRIFFITH,ACT
2603,MANUKA,ACT
2603,RED HILL,ACT
2604,CAUSEWAY,ACT
2604,KINGSTON,ACT
2604,NARRABUNDAH,ACT
2605,CURTIN,ACT
2605,GARRAN,ACT
2605,HUGHES,ACT
2606,CHIFLEY,ACT
2606,LYONS,ACT
2606,O'MALLEY,ACT
2606,PHILLIP,ACT
2606,PHILLIP DC,ACT
2606,SWINGER HILL,ACT
2606,WODEN,ACT
2607,FARRER,ACT
2607,ISAACS,ACT
2607,MAWSON,ACT
2607,PEARCE,ACT
2611,URIARRA FOREST,ACT
2611,WARAMANGA,ACT
2611,WESTON,ACT
2611,WESTON CREEK,ACT
2612,BRADDON,ACT
2612,CAMPBELL,ACT
2612,REID,ACT
2612,TURNER,ACT
2614,ARANDA,ACT
2614,COOK,ACT
2614,HAWKER,ACT
2614,JAMISON CENTRE,ACT
2614,MACQUARIE,ACT
2614,PAGE,ACT
2614,SCULLIN,ACT
2614,WEETANGERA,ACT
2615,CHARNWOOD,ACT
2615,DUNLOP,ACT
2615,FLOREY,ACT
2615,FLYNN,ACT
2615,FRASER,ACT
2615,HIGGINS,ACT
2615,HOLT,ACT
2615,KIPPAX,ACT
2615,KIPPAX CENTRE,ACT
2615,LATHAM,ACT
2615,MACGREGOR,ACT
2615,MELBA,ACT
2615,SPENCE,ACT
2616,BELCONNEN,ACT
2617,BELCONNEN,ACT
2617,BELCONNEN DC,ACT
2617,BRUCE,ACT
2617,EVATT,ACT
2617,GIRALANG,ACT
2617,KALEEN,ACT
2617,LAWSON,ACT
2617,MCKELLAR,ACT
2617,UNIVERSITY OF CANBERRA,ACT
2618,HALL,ACT
2620,HUME,ACT
2620,KOWEN FOREST,ACT
2620,OAKS ESTATE,ACT
2620,THARWA,ACT
2620,TOP NAAS,ACT
2607,TORRENS,ACT
2608,CIVIC SQUARE,ACT
2609,CANBERRA INTERNATIONAL AIRPORT,ACT
2609,FYSHWICK,ACT
2609,PIALLIGO,ACT
2609,SYMONSTON,ACT
2610,CANBERRA BC,ACT
2610,CANBERRA MC,ACT
2611,CHAPMAN,ACT
2611,DUFFY,ACT
2611,FISHER,ACT
2611,HOLDER,ACT
2611,MOUNT STROMLO,ACT
2611,PIERCES CREEK,ACT
2611,RIVETT,ACT
2611,STIRLING,ACT
2611,URIARRA,ACT
2911,CRACE,ACT
2911,MITCHELL,ACT
2912,GUNGAHLIN,ACT
2913,FRANKLIN,ACT
2913,GINNINDERRA VILLAGE,ACT
2913,NGUNNAWAL,ACT
2913,NICHOLLS,ACT
2913,PALMERSTON,ACT
2914,AMAROO,ACT
2914,BONNER,ACT
2914,FORDE,ACT
2914,HARRISON,ACT
2900,GREENWAY,ACT
2900,TUGGERANONG,ACT
2901,TUGGERANONG DC,ACT
2902,KAMBAH,ACT
2903,ERINDALE CENTRE,ACT
2903,OXLEY,ACT
2903,WANNIASSA,ACT
2904,FADDEN,ACT
2904,GOWRIE,ACT
2904,MACARTHUR,ACT
2904,MONASH,ACT
2905,BONYTHON,ACT
2905,CALWELL,ACT
2905,CHISHOLM,ACT
2905,GILMORE,ACT
2905,ISABELLA PLAINS,ACT
2905,RICHARDSON,ACT
2905,THEODORE,ACT
2906,BANKS,ACT
2906,CONDER,ACT
2906,GORDON,ACT
