Postcode,Neighborhood,No.of Beds,Rent_Price,latitude,longitude
2905,CHISHOLM,5,1000,-35.431011,149.110025
2903,WANNIASSA,3,750,-35.402705,149.081776
2905,RICHARDSON,4,530,-35.431011,149.110025
2904,GOWRIE,2,500,-35.410206,149.111402
2905,BONYTHON,2,500,-35.431011,149.110025
2905,CALWELL,2,480,-35.431011,149.110025
2905,THEODORE,2,465,-35.431011,149.110025
2905,ISABELLA PLAINS,3,450,-35.431011,149.110025
2615,MACGREGOR,2,450,-35.215386,149.029308
2611,STIRLING,2,450,-35.322291,148.784415
2612,BRADDON,2,450,-35.269924,149.1279
2904,MONASH,3,450,-35.410206,149.111402
2900,GREENWAY,3,435,-35.41891,149.063805
2617,LAWSON,2,435,-35.231279,149.086682
2615,HIGGINS,2,425,-35.215386,149.029308
2614,SCULLIN,2,875,-35.257315,149.049796
2615,DUNLOP,1,425,-35.215386,149.029308
2614,PAGE,1,420,-35.257315,149.049796
2615,HOLT,1,400,-35.215386,149.029308
2615,FLOREY,1,400,-35.215386,149.029308
2617,KALEEN,1,400,-35.231279,149.086682
2617,GIRALANG,3,159.84,-35.231279,149.086682
2617,BRUCE,3,159.5,-35.231279,149.086682
2615,LATHAM,6,120,-35.215386,149.029308
2609,SYMONSTON,3,110.16,-35.31537,149.170023
2609,FYSHWICK,4,159.5,-35.31537,149.170023
2912,GUNGAHLIN,4,135.11,-35.172453,149.123552
2616,BELCONNEN,3,693,-35.235885,149.0596
2604,NARRABUNDAH,2,672.4,-35.336413,149.147614
2603,GRIFFITH,4,119.5,-35.330382,149.125739
2602,LYNEHAM,3,750,-35.248071,149.148147
2615,MELBA,2,725,-35.215386,149.029308
2617,MCKELLAR,2,690,-35.231279,149.086682
2614,HAWKER,2,671,-35.257315,149.049796
2615,SPENCE,3,900,-35.215386,149.029308
2911,MITCHELL,4,119.5,-35.218737,149.132505
2615,FRASER,3,110,-35.215386,149.029308
2602,DOWNER,3,999.5,-35.248071,149.148147
2617,EVATT,2,900,-35.231279,149.086682
2614,WEETANGERA,2,100,-35.257315,149.049796
2600,PARKES,3,850,-35.302911,149.201072
2601,ACTON,5,800,-35.275863,149.113796
2601,CITY,2,725,-35.275863,149.113796
2911,CRACE,1,690,-35.218737,149.132505
2620,HUME,3,858.5,-35.317402,149.257101
2906,CONDER,2,779.5,-35.45676,149.08972
2606,PHILLIP,2,135,-35.351693,149.092601
